lat,lng
52.29684,15.714337
52.297443,15.721676
52.298205,15.727598
52.299543,15.734765
52.301695,15.743906
52.304136,15.752317
52.308465,15.76678
52.31164,15.77708
52.314919,15.786435
52.316756,15.793645
52.321661,15.810039
52.325229,15.822355
52.326933,15.830767
52.328428,15.842182
52.328979,15.85467
52.328927,15.866773
52.329084,15.880849
52.329425,15.895483
52.32953,15.908615
52.329792,15.919344
52.330159,15.929386
52.331156,15.941445
52.33252,15.951745
52.333542,15.957496
52.33821,15.977666
52.341383,15.990669
52.343506,16.000883
52.345709,16.014316
52.347229,16.024916
52.349064,16.037061
52.350742,16.049892
52.352341,16.061522
52.355277,16.081264
52.358029,16.095039
52.359460000000006,16.10404
52.359460000000006,16.10404
52.362350000000006,16.11938
52.363020000000006,16.12358
52.363670000000006,16.12865
52.3669,16.16109
52.36713,16.163870000000003
52.36732000000001,16.167440000000003
52.36741000000001,16.17059
52.367630000000005,16.19
52.368,16.19623
52.368500000000004,16.20091
52.36887,16.2036
52.3695,16.207340000000002
52.374810000000004,16.23431
52.375600000000006,16.239530000000002
52.376310000000004,16.24615
52.37666,16.25147
52.377370000000006,16.27154
52.37802000000001,16.285880000000002
52.382850000000005,16.37357
52.3834,16.38024
52.384130000000006,16.38682
52.38778000000001,16.41232
52.38870000000001,16.42039
52.389050000000005,16.424400000000002
52.389450000000004,16.430580000000003
52.38993000000001,16.443250000000003
52.389990000000004,16.44807
52.38991000000001,16.451620000000002
52.38978,16.45427
52.389320000000005,16.45981
52.388850000000005,16.46358
52.38725,16.47428
52.3868,16.4783
52.38658,16.48141
52.386410000000005,16.486220000000003
52.38645,16.48959
52.38741,16.50766
52.3875,16.511760000000002
52.387480000000004,16.51424
52.38731000000001,16.51883
52.38700000000001,16.52298
52.38646000000001,16.52783
52.38564,16.53303
52.384620000000005,16.538
52.383390000000006,16.54279
52.377230000000004,16.56389
52.37568,16.56897
52.374430000000004,16.5728
52.37268,16.577910000000003
52.370740000000005,16.58323
52.358560000000004,16.6151
52.35746,16.618270000000003
52.356370000000005,16.621950000000002
52.35542,16.62583
52.354560000000006,16.630280000000003
52.34928000000001,16.664150000000003
52.34893,16.66685
52.348620000000004,16.67002
52.34835,16.6749
52.34834000000001,16.680200000000003
52.34995000000001,16.71883
52.35025,16.727890000000002
52.350280000000005,16.732120000000002
52.350410000000004,16.73627
52.35022000000001,16.834200000000003
52.35027,16.839080000000003
52.35045,16.84371
52.350660000000005,16.847240000000003
52.351020000000005,16.85173
52.35148,16.85595
52.35374,16.87293
52.354130000000005,16.876330000000003
52.354580000000006,16.883850000000002
52.354580000000006,16.888840000000002
52.354440000000004,16.89376
52.35417,16.89748
52.346090000000004,16.997390000000003
52.34508,17.00748
52.34460000000001,17.01143
52.34339000000001,17.02016
52.341930000000005,17.029040000000002
52.339690000000004,17.040580000000002
52.33223,17.076610000000002
52.33088000000001,17.08277
52.32875000000001,17.09156
52.327650000000006,17.09562
